Taxa and Samples	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV1	6.47733600828326	5.02187059923997	8.10658865732993	5.87747297627619	5.71786399588634	6.1242026649471	5.19636760660929	8.00562454919388	6.54431211084486	6.84846220236488	5.7703429780196	5.88392463133523	5.31944409110122	5.35888048376616	5.8578000084548	6.02741922521616	6.02675487759284	7.30529511016285	6.3034900775836	5.87642302450843	6.73019394549252	7.32984198300259	5.17132834289313	6.14672578463055	6.59515460715608	8.03698096781478	6.42590979868982	5.89791462211664	7.57803854508539	6.18763713784177	7.76579845666505	6.71065726835294	0	0	0	0
ASV2	6.52654005564571	5.02187059923997	8.09046776110911	5.88187047486764	5.72258963906225	5.9734124542582	5.17849343830017	7.96956019504493	6.55686544206154	6.95987939607313	5.84377518448365	5.87474539924364	5.2061110272503	5.53961284574306	5.88272211739178	5.7016075436939	6.02292076543134	7.29048363288145	6.13584647663396	5.78917216063496	6.64220352581361	7.32085324177907	5.35308352341132	6.319834349975	6.65057112905629	8.00904717078988	6.54237157663252	5.87765242970091	7.56227764089433	5.99260555335546	7.83149957430979	6.74785928944739	0	0	0	0
ASV3	6.33727836966095	4.80102774967987	7.81438331360628	5.62284544326093	5.34142080112151	5.74701417537912	5.11726100778679	7.5548534449917	6.17243974515815	6.65118179263459	5.36075765357464	5.7647597929104	5.10736156365963	5.45518360695809	5.62948620152676	5.64754565111069	5.72079982098776	7.07033432977274	6.0266004896697	5.53805199722695	6.52963426750537	7.15879728761548	5.21085779021383	5.85310980860563	6.30924489081632	7.7451581527106	6.14242035121212	5.5074979691052	7.25538529341162	5.79123792457478	7.51261141900015	6.46099319943048	0	0	0	0
ASV4	6.04253473639597	4.86112369489369	7.7474185186269	5.52502466787007	5.50943903662346	5.6733151914032	5.00680254384922	7.50752127306555	6.13274187337199	6.64846891877695	5.43866782164403	5.65644494994915	4.92153792983272	5.30476335197459	5.84263743957418	5.4994152495573	5.91947999532629	6.89399493341441	6.04989187080726	5.36027891652839	6.3797163175067	6.95602913423132	5.28680864307711	6.27939763091017	6.47191227496352	7.39845247812206	5.96648409670176	5.53794350239334	7.14214534370704	5.90655813909342	7.50896520464996	6.55843990810233	0	0	0	0
ASV5	6.22252182486386	4.94373481782446	7.79793125451544	5.73404332811766	5.41916748134904	5.85291590334154	5.07923394193885	7.52275061755542	6.11247564859377	6.51781803652226	5.46992828122108	5.6724253419715	4.77783964129204	5.29785371429822	5.69848711217634	5.56569616525042	5.79910649556692	7.00443863762455	5.9461293367684	5.51103963184929	6.30773485847444	6.95892900725043	5.31126230853478	5.94057795420362	6.3972949089066	7.46781900324691	5.92522276094484	5.37885285691019	7.07214883453137	5.99781685450261	7.50530975163744	6.44598008178191	0	0	0	0
ASV6	5.94938097806225	4.8078300398096	7.47679633298408	5.54179570022734	5.15821709069896	5.37275139365796	4.57738904295728	7.18538811883012	5.9733146232197	6.40018292455032	5.19853625646664	5.39911987630204	4.90779532096905	4.73793591954578	5.18459075723508	5.19886644108186	5.49032113086108	6.68337447528115	5.59668738208787	5.25838509011516	6.03204991516858	6.62828593382064	4.66435147997963	5.67752657438868	5.98795142072994	7.37894080401295	5.64929925548399	5.30490665291491	7.01925404003188	5.57118466880347	7.23873499439339	6.09776795292819	0	0	0	0
ASV7	5.856224261296	4.41209422377811	7.50342195564861	5.44407396212716	5.34755234551764	5.4578418718749	4.68258513350652	7.28572108173036	5.73783318609133	6.33080858596865	5.13754557568023	5.43703118557117	4.54020807064402	4.98161983328246	5.46759896088489	5.27215595023585	5.41039797320347	6.65060933954812	5.51535824577511	5.16616389428729	5.96343195901921	6.78356304405067	4.94781558579662	5.71659886010059	6.01507703021842	7.22474632361259	5.71856065094044	5.39794808517553	6.89613159147318	5.56417583729169	7.21878464986852	6.16806899800941	0	0	0	0
ASV8	5.64223494161367	4.49028938236548	7.45177490783206	5.43212966989463	5.23959708682516	5.35622271963863	4.63094569057742	7.19899534105065	5.90032510604853	6.24361984346112	5.15303667055474	5.30658229767217	4.339857678938	4.96426859083886	5.46099465432088	4.96347019030507	5.50688630706482	6.72803038842447	5.73243811682676	5.09518616906159	6.03651045960611	6.68192349853854	4.73835490895742	5.52236536245101	5.96428793244762	7.43460302687965	5.67441889612589	5.32000221683903	6.96700847510237	5.36079146941443	7.12185165055765	6.08813022500384	0	0	0	0
ASV9	5.79060070945229	4.71679574368783	7.4580710653258	5.19826962713627	5.15122358217948	5.37821913654712	4.51228492084912	7.25738784269265	5.65150826803215	6.16607583223441	5.12973720191117	5.43078141388055	4.39999496327188	5.08156076188507	5.27772621757907	5.28794898422475	5.18876745768529	6.65060933954812	5.62797729030729	4.92143772589465	6.00043387607904	6.6854294164805	4.99386442320935	5.82784145681276	6.00737875848106	7.17533167519814	5.51668911619261	5.20001916859938	6.69240132644434	5.63277747609276	7.01536590014065	6.20866193416669	0	0	0	0
ASV10	5.58918369077248	4.52372723215307	7.2440025495258	5.16257025624441	5.3290789758223	5.17332571419999	4.63094569057742	7.23906350419538	5.81928310496544	6.27209763519642	5.04923707993847	5.2509104905176	4.47646678395644	5.21957990020648	5.30010004345281	5.28007407771191	5.56076890204578	6.52969049712937	5.63825824839637	5.18337581920948	6.11452820771835	6.63917416778725	4.68321124685071	5.4313470391835	5.95230902787986	7.18035000306355	5.64929925548399	5.20544865787805	6.83913838891558	5.68540280683508	7.17573885757692	6.10256278010148	0	0	0	0
