	A1_1	A1_2	A1_3	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4
ASV1	342	239	1076	322	299	437	237	928	566	605	282	310	271	212	282	302	371	681	441	268	519	640	210	348	556	1039	482	423	824	312	940	455	0	0	0	0
ASV2	354	239	1064	323	300	393	234	905	571	654	297	308	250	241	287	240	370	674	392	252	488	636	239	393	578	1019	523	417	815	272	984	467	0	0	0	0
ASV3	310	204	878	269	229	335	224	678	436	527	211	285	233	227	240	231	299	578	363	211	451	568	216	283	455	848	395	321	658	236	788	382	0	0	0	0
ASV4	252	213	838	251	258	318	207	656	424	526	223	264	204	204	279	208	344	511	369	186	406	493	228	382	510	666	349	328	608	256	786	409	0	0	0	0
ASV5	286	226	868	291	242	361	218	663	418	480	228	267	184	203	252	218	316	552	343	207	386	494	232	301	484	699	339	293	579	273	784	378	0	0	0	0
ASV6	236	205	694	254	201	257	152	524	379	442	188	220	202	136	175	168	254	441	268	173	318	392	146	250	363	657	279	278	558	202	651	296	0	0	0	0
ASV7	221	154	707	237	230	273	164	562	321	421	180	226	155	162	214	177	240	431	253	162	303	437	179	257	370	590	293	297	512	201	642	311	0	0	0	0
ASV8	190	163	682	235	213	254	158	529	360	396	182	206	134	160	213	142	257	455	295	154	319	407	154	224	357	683	284	281	538	174	600	294	0	0	0	0
ASV9	211	192	685	199	200	258	145	551	302	375	179	225	140	174	187	179	205	431	274	136	311	408	185	278	368	570	254	258	444	211	557	320	0	0	0	0
ASV10	183	167	590	194	227	223	158	544	340	404	169	198	148	192	190	178	267	396	276	164	337	395	148	210	354	572	279	259	492	219	623	297	0	0	0	0
ASV11	146	108	446	151	110	156	81	309	200	250	97	117	108	91	134	113	163	268	165	99	191	270	108	148	192	374	176	135	303	131	370	167	0	0	0	0
ASV12	70	57	217	65	65	81	44	160	112	133	43	64	56	48	64	49	91	126	98	61	91	116	44	98	105	165	66	61	146	51	219	98	0	0	0	0
ASV13	72	52	209	79	74	88	46	180	98	134	58	67	38	51	59	66	79	155	98	46	96	115	49	87	89	155	56	68	134	60	173	90	0	0	0	0
ASV14	27	18	26	10	35	41	42	22	69	37	70	113	30	51	49	81	78	18	60	127	84	73	60	74	56	80	112	79	109	63	81	60	0	0	0	0
ASV15	34	36	28	15	20	61	28	29	67	43	67	106	25	32	44	60	62	17	56	97	71	97	61	55	50	102	118	57	75	50	87	60	0	0	0	0
ASV16	129	30	37	33	37	62	37	26	40	41	81	45	35	28	52	31	45	22	27	27	41	39	29	39	40	80	67	27	158	123	47	36	0	0	0	0
ASV17	0	37	13	15	17	43	32	30	75	30	63	91	25	34	36	64	48	15	65	104	62	55	44	63	51	50	87	63	82	52	66	60	0	0	0	0
ASV18	0	0	42	121	40	41	34	0	29	146	92	0	24	0	0	68	0	0	0	0	0	0	61	0	82	88	0	0	32	88	0	0	148	65	123	147
ASV19	53	24	17	24	30	32	51	37	66	12	35	62	17	18	27	64	20	23	25	55	69	67	31	225	104	23	52	11	50	21	100	22	0	0	0	0
ASV20	0	21	23	26	41	38	68	24	67	27	32	50	19	16	29	69	22	14	39	57	74	62	13	226	111	20	56	34	65	19	86	16	0	0	0	0
ASV21	101	28	30	0	0	36	44	75	21	17	96	23	43	66	48	40	24	22	13	0	98	11	30	38	33	102	42	36	90	209	31	0	0	0	0	0
ASV22	107	20	33	29	27	66	24	28	35	53	71	42	24	29	45	24	47	9	27	25	45	47	29	54	43	85	50	25	123	93	31	37	0	0	0	0
ASV23	0	32	45	141	34	26	22	31	32	34	85	31	38	41	61	47	21	31	31	0	57	43	68	94	69	73	57	45	41	49	18	23	0	0	0	0
ASV24	73	25	94	67	74	48	28	75	22	84	12	64	33	0	10	26	19	55	24	83	26	20	55	49	50	66	43	28	22	0	15	26	0	0	0	0
ASV25	0	16	0	0	34	29	35	25	44	32	104	43	43	42	51	42	39	35	36	0	38	20	56	109	56	62	81	35	47	72	46	40	0	0	0	0
ASV26	38	22	23	28	28	28	29	24	53	17	25	59	33	16	32	60	27	19	30	53	52	55	22	179	93	28	51	23	46	16	69	25	0	0	0	0
ASV27	75	25	116	67	77	48	31	84	26	57	17	81	39	0	12	15	11	43	20	105	27	24	42	39	38	59	44	39	14	0	10	9	0	0	0	0
ASV28	0	28	27	0	0	48	0	0	33	23	72	28	49	63	49	37	22	0	14	0	97	30	41	43	33	90	53	33	106	182	24	56	0	0	0	0
ASV29	0	22	29	29	34	47	26	15	28	40	68	32	15	27	45	20	40	40	36	30	47	23	25	36	53	67	59	34	115	89	50	35	0	0	0	0
ASV30	57	22	102	53	67	39	18	62	25	55	38	44	32	0	15	17	16	47	19	71	36	25	62	54	29	53	40	26	19	64	16	17	0	0	0	0
ASV31	0	39	25	0	0	52	30	0	23	45	81	23	25	70	42	30	23	31	13	0	99	29	49	47	54	76	39	26	112	131	22	0	0	0	0	0
ASV32	0	12	21	19	28	25	36	25	61	23	29	65	17	16	31	49	17	22	20	45	52	50	19	191	79	29	28	26	41	26	78	25	0	0	0	0
ASV33	62	26	155	21	19	22	28	16	35	32	21	19	34	25	21	17	22	70	34	28	17	0	29	38	26	73	30	37	14	33	21	24	29	51	20	30
ASV34	0	21	77	0	18	18	22	38	41	29	75	36	27	41	61	39	17	34	23	0	42	41	68	80	57	44	59	29	38	48	33	22	0	0	0	0
ASV35	65	28	99	56	77	38	29	55	31	71	22	43	26	0	17	13	19	46	12	78	34	24	56	40	31	36	53	15	22	0	12	28	0	0	0	0
ASV36	0	0	0	75	118	152	0	0	36	0	73	104	0	0	0	22	63	0	0	0	0	88	0	45	0	174	0	0	73	0	69	0	73	0	0	0
ASV37	0	11	0	0	33	29	29	33	29	34	70	36	22	37	41	32	22	33	35	0	37	24	70	67	62	30	77	29	36	51	54	33	0	0	0	0
ASV38	0	29	0	20	24	19	24	35	22	29	31	23	36	28	29	23	31	52	41	31	31	0	29	20	31	83	23	37	34	37	20	16	44	69	29	31
ASV39	8	47	22	20	28	40	28	14	15	24	16	36	31	11	16	12	24	19	18	33	26	21	24	20	34	24	23	44	20	27	16	24	65	72	98	47
ASV40	0	30	0	12	22	40	30	16	23	25	61	32	14	31	37	39	41	21	18	0	32	13	16	34	55	62	40	27	119	74	41	24	0	0	0	0
ASV41	0	0	0	0	0	0	0	0	0	70	0	0	0	65	0	0	0	0	93	82	107	0	0	0	0	0	110	31	0	182	0	102	0	0	0	186
ASV42	31	16	18	34	35	35	31	25	40	25	44	32	21	14	30	71	26	0	48	29	28	41	34	33	28	73	27	32	42	0	20	38	0	0	0	0
ASV43	0	0	0	0	0	0	119	0	28	0	66	100	0	0	0	33	108	0	0	0	0	84	0	58	0	0	0	122	69	0	97	0	0	0	0	114
ASV44	34	9	87	82	35	26	36	19	35	30	32	38	30	30	20	0	45	16	15	0	20	18	31	50	47	26	23	35	36	23	29	24	0	0	0	0
