SampleID	Accession	Soil_type	Plant_status	Group
A1_1	A1	Agricultural	Ancestral	A
A1_2	A1	Agricultural	Ancestral	A
A1_3	A1	Agricultural	Ancestral	A
A1_4	A1	Agricultural	Ancestral	A
A2_1	A2	Agricultural	Ancestral	A
A2_2	A2	Agricultural	Ancestral	A
A2_3	A2	Agricultural	Ancestral	A
A2_4	A2	Agricultural	Ancestral	A
L1_1	L1	Agricultural	Landrace	L
L1_2	L1	Agricultural	Landrace	L
L1_3	L1	Agricultural	Landrace	L
L1_4	L1	Agricultural	Landrace	L
M1_1	M1	Agricultural	Modern	M
M1_2	M1	Agricultural	Modern	M
M1_3	M1	Agricultural	Modern	M
M1_4	M1	Agricultural	Modern	M
M2_1	M2	Agricultural	Modern	M
M2_2	M2	Agricultural	Modern	M
M2_3	M2	Agricultural	Modern	M
M2_4	M2	Agricultural	Modern	M
M3_1	M3	Agricultural	Modern	M
M3_2	M3	Agricultural	Modern	M
M3_3	M3	Agricultural	Modern	M
M3_4	M3	Agricultural	Modern	M
M4_1	M4	Agricultural	Modern	M
M4_2	M4	Agricultural	Modern	M
M4_3	M4	Agricultural	Modern	M
M4_4	M4	Agricultural	Modern	M
M5_1	M5	Agricultural	Modern	M
M5_2	M5	Agricultural	Modern	M
M5_3	M5	Agricultural	Modern	M
M5_4	M5	Agricultural	Modern	M
S_1	Soil	Agricultural	NA	Soil
S_2	Soil	Agricultural	NA	Soil
S_3	Soil	Agricultural	NA	Soil
S_4	Soil	Agricultural	NA	Soil
