sample-id	absolute-filepath	direction
sample-1	/input-directory/A1_1_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-2	/input-directory/A1_2_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-3	/input-directory/A1_3_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-4	/input-directory/A1_4_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-5	/input-directory/M5_1_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-6	/input-directory/M5_2_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-7	/input-directory/M5_3_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-8	/input-directory/M5_4_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-9	/input-directory/S_1_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-10	/input-directory/S_2_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-11	/input-directory/S_3_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-12	/input-directory/S_4_L001_R1_001_000000000-ATV4Y.filt.fastq	forward
sample-1	/input-directory/A1_1_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-2	/input-directory/A1_2_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-3	/input-directory/A1_3_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-4	/input-directory/A1_4_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-5	/input-directory/M5_1_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-6	/input-directory/M5_2_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-7	/input-directory/M5_3_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-8	/input-directory/M5_4_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-9	/input-directory/S_1_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-10	/input-directory/S_2_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-11	/input-directory/S_3_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
sample-12	/input-directory/S_4_L001_R2_001_000000000-ATV4Y.filt.fastq	reverse
