ID	A1_1	L1_2	L1_3	L1_4	M1_1	M1_2	M1_3	M1_4	M2_1	M2_2	M2_3	A1_2	M2_4	M3_1	M3_2	M3_3	M3_4	M4_1	M4_2	M4_3	M4_4	M5_1	A1_3	M5_2	M5_3	M5_4	S_1	S_2	S_3	S_4	A1_4	A2_1	A2_2	A2_3	A2_4	L1_1
77e3aba39d23bec7cb9b5c0f14dcea5b	342.0	605.0	282.0	310.0	271.0	212.0	282.0	302.0	371.0	681.0	441.0	239.0	268.0	519.0	640.0	210.0	348.0	556.0	1039.0	482.0	423.0	824.0	1076.0	312.0	940.0	455.0	0.0	0.0	0.0	0.0	322.0	299.0	437.0	237.0	928.0	566.0
a460f36058b84d615a7013476ce6d468	354.0	654.0	297.0	308.0	250.0	241.0	287.0	240.0	370.0	674.0	392.0	239.0	252.0	488.0	636.0	239.0	393.0	578.0	1019.0	523.0	417.0	815.0	1064.0	272.0	984.0	467.0	0.0	0.0	0.0	0.0	323.0	300.0	393.0	234.0	905.0	571.0
39e70055f927d59de95c8e97e23ca9d6	310.0	527.0	211.0	285.0	233.0	227.0	240.0	231.0	299.0	578.0	363.0	204.0	211.0	451.0	568.0	216.0	283.0	455.0	848.0	395.0	321.0	658.0	878.0	236.0	788.0	382.0	0.0	0.0	0.0	0.0	269.0	229.0	335.0	224.0	678.0	436.0
5452d0b404d85328b7c789524186d3b4	252.0	526.0	223.0	264.0	204.0	204.0	279.0	208.0	344.0	511.0	369.0	213.0	186.0	406.0	493.0	228.0	382.0	510.0	666.0	349.0	328.0	608.0	838.0	256.0	786.0	409.0	0.0	0.0	0.0	0.0	251.0	258.0	318.0	207.0	656.0	424.0
b248d154bc18f6188b7dd6afad9a1c02	286.0	480.0	228.0	267.0	184.0	203.0	252.0	218.0	316.0	552.0	343.0	226.0	207.0	386.0	494.0	232.0	301.0	484.0	699.0	339.0	293.0	579.0	868.0	273.0	784.0	378.0	0.0	0.0	0.0	0.0	291.0	242.0	361.0	218.0	663.0	418.0
3410c2478b01e4d936a8855351a5c4a2	236.0	442.0	188.0	220.0	202.0	136.0	175.0	168.0	254.0	441.0	268.0	205.0	173.0	318.0	392.0	146.0	250.0	363.0	657.0	279.0	278.0	558.0	694.0	202.0	651.0	296.0	0.0	0.0	0.0	0.0	254.0	201.0	257.0	152.0	524.0	379.0
c376b2ade5ab7ac1eabab69c10e23b48	221.0	421.0	180.0	226.0	155.0	162.0	214.0	177.0	240.0	431.0	253.0	154.0	162.0	303.0	437.0	179.0	257.0	370.0	590.0	293.0	297.0	512.0	707.0	201.0	642.0	311.0	0.0	0.0	0.0	0.0	237.0	230.0	273.0	164.0	562.0	321.0
86001ed5fa674e3aa8de8dd1c6d285ff	190.0	396.0	182.0	206.0	134.0	160.0	213.0	142.0	257.0	455.0	295.0	163.0	154.0	319.0	407.0	154.0	224.0	357.0	683.0	284.0	281.0	538.0	682.0	174.0	600.0	294.0	0.0	0.0	0.0	0.0	235.0	213.0	254.0	158.0	529.0	360.0
3a92b1ad373577af1b3605ef3748124c	211.0	375.0	179.0	225.0	140.0	174.0	187.0	179.0	205.0	431.0	274.0	192.0	136.0	311.0	408.0	185.0	278.0	368.0	570.0	254.0	258.0	444.0	685.0	211.0	557.0	320.0	0.0	0.0	0.0	0.0	199.0	200.0	258.0	145.0	551.0	302.0
9b43f6bae5466a8aef4bc42444829eab	183.0	404.0	169.0	198.0	148.0	192.0	190.0	178.0	267.0	396.0	276.0	167.0	164.0	337.0	395.0	148.0	210.0	354.0	572.0	279.0	259.0	492.0	590.0	219.0	623.0	297.0	0.0	0.0	0.0	0.0	194.0	227.0	223.0	158.0	544.0	340.0
5bed116f11f0dee832e0515ef4c32418	146.0	250.0	97.0	117.0	108.0	91.0	134.0	113.0	163.0	268.0	165.0	108.0	99.0	191.0	270.0	108.0	148.0	192.0	374.0	176.0	135.0	303.0	446.0	131.0	370.0	167.0	0.0	0.0	0.0	0.0	151.0	110.0	156.0	81.0	309.0	200.0
31b2fb692c2181cfcb55bdfd3954d772	70.0	133.0	43.0	64.0	56.0	48.0	64.0	49.0	91.0	126.0	98.0	57.0	61.0	91.0	116.0	44.0	98.0	105.0	165.0	66.0	61.0	146.0	217.0	51.0	219.0	98.0	0.0	0.0	0.0	0.0	65.0	65.0	81.0	44.0	160.0	112.0
46b3e52fbaed5cf890c900c46a2685b9	72.0	134.0	58.0	67.0	38.0	51.0	59.0	66.0	79.0	155.0	98.0	52.0	46.0	96.0	115.0	49.0	87.0	89.0	155.0	56.0	68.0	134.0	209.0	60.0	173.0	90.0	0.0	0.0	0.0	0.0	79.0	74.0	88.0	46.0	180.0	98.0
70b8ef5d1800230424f1b73e11c58d6e	27.0	37.0	70.0	113.0	30.0	51.0	49.0	81.0	78.0	18.0	60.0	18.0	127.0	84.0	73.0	60.0	74.0	56.0	80.0	112.0	79.0	109.0	26.0	63.0	81.0	60.0	0.0	0.0	0.0	0.0	10.0	35.0	41.0	42.0	22.0	69.0
f46c86b879357dfe8a79669e4d6ab90d	34.0	43.0	67.0	106.0	25.0	32.0	44.0	60.0	62.0	17.0	56.0	36.0	97.0	71.0	97.0	61.0	55.0	50.0	102.0	118.0	57.0	75.0	28.0	50.0	87.0	60.0	0.0	0.0	0.0	0.0	15.0	20.0	61.0	28.0	29.0	67.0
79c502fb7873d11d137d6de3bf9ceabd	129.0	41.0	81.0	45.0	35.0	28.0	52.0	31.0	45.0	22.0	27.0	30.0	27.0	41.0	39.0	29.0	39.0	40.0	80.0	67.0	27.0	158.0	37.0	123.0	47.0	36.0	0.0	0.0	0.0	0.0	33.0	37.0	62.0	37.0	26.0	40.0
93f23684a4224a2fc13bcc4c20a9f115	0.0	30.0	63.0	91.0	25.0	34.0	36.0	64.0	48.0	15.0	65.0	37.0	104.0	62.0	55.0	44.0	63.0	51.0	50.0	87.0	63.0	82.0	13.0	52.0	66.0	60.0	0.0	0.0	0.0	0.0	15.0	17.0	43.0	32.0	30.0	75.0
