sample_accession	run_accession	sample_alias
SAMEA4588008	ERR2523251	CY1
SAMEA4588009	ERR2523252	CY2
SAMEA4588010	ERR2523253	CY3
SAMEA4588011	ERR2523254	CY4
SAMEA4588012	ERR2523255	YA3
SAMEA4588013	ERR2523256	YA4
SAMEA4588014	ERR2523257	YA7
SAMEA4588015	ERR2523258	YC1
SAMEA4588016	ERR2523259	YC11
SAMEA4588017	ERR2523260	YC4
SAMEA4588018	ERR2523261	YC6
SAMEA4588019	ERR2523262	YD10
SAMEA4588020	ERR2523263	YD11
SAMEA4588021	ERR2523264	YD4
SAMEA4588022	ERR2523265	YE11
SAMEA4588023	ERR2523266	YE3
SAMEA4588024	ERR2523267	YE7
SAMEA4588025	ERR2523268	YE8
SAMEA4588026	ERR2523269	YF1
SAMEA4588027	ERR2523270	YF3
SAMEA4588028	ERR2523271	YF4
SAMEA4588029	ERR2523272	YF6
SAMEA4588030	ERR2523273	YH1
SAMEA4588031	ERR2523274	YH10
SAMEA4588032	ERR2523275	YH11
SAMEA4588033	ERR2523276	YH6
SAMEA4588034	ERR2523277	YI1
SAMEA4588035	ERR2523278	YI12
SAMEA4588036	ERR2523279	YI2
SAMEA4588037	ERR2523280	YI3
